id,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
35,'Manos' the Hands of Fate,1966,74,19000,1.6,7996,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
36,'Merci la vie',1991,117,NA,7.2,251,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
37,'Neath Brooklyn Bridge,1942,61,NA,6.1,114,0,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,1,1,0,0,0
38,'Neath Canadian Skies,1946,41,NA,5.4,7,14.5,0,14.5,14.5,0,24.5,0,14.5,0,14.5,,0,0,0,0,0,0,1
39,'Neath the Arizona Skies,1934,52,NA,4.6,105,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
40,"'Night, Mother",1986,96,NA,6.8,364,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
41,'O re,1989,90,NA,3.9,8,0,14.5,14.5,0,0,34.5,0,14.5,14.5,14.5,,0,0,1,0,0,0,0
42,'Pimpernel' Smith,1941,120,NA,7.2,139,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
43,'R Xmas,2001,83,NA,4.9,288,14.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
44,'Round Midnight,1986,133,NA,7.3,902,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
45,"'Sheba, Baby'",1975,90,NA,5.5,91,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
46,"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",1951,15,NA,5.3,5,0,0,0,0,64.5,0,24.5,0,0,24.5,,0,0,0,0,0,0,1
47,"'Teddy' Bears, The",1907,15,NA,5.8,23,4.5,4.5,4.5,0,4.5,14.5,24.5,24.5,4.5,4.5,,0,1,0,0,0,0,1
48,'Til There Was You,1997,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,1,0
49,'Til We Meet Again,1940,99,NA,6.3,83,4.5,4.5,0,4.5,14.5,24.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,1,0
50,'What's Your 'I.Q.'?' Number Two,1940,9,NA,5.9,9,0,0,14.5,14.5,24.5,24.5,14.5,0,14.5,14.5,,0,0,0,0,1,0,1
51,"'burbs, The",1989,101,NA,6,7641,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
52,(A)Torzija,2002,13,NA,7.2,71,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,1
53,(Entre nous),2002,82,NA,4.8,22,14.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,0,0,,0,0,0,1,0,0,0
54,(Haru),1996,118,NA,6.6,19,4.5,0,14.5,0,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
55,(Paris: XY),2001,80,NA,1.4,6,14.5,0,14.5,0,14.5,14.5,14.5,14.5,0,0,,0,0,0,1,0,0,0
56,(T)Raumschiff Surprise - Periode 1,2004,87,NA,5.6,1275,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
57,*Corpus Callosum,2002,92,NA,4.9,36,24.5,14.5,4.5,4.5,0,4.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
58,*batteries not included,1987,106,NA,5.7,4148,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
59,+1 -1,1987,7,NA,9.4,6,0,0,0,0,0,0,0,0,45.5,45.5,,0,1,1,0,0,0,1
60,-30-,1959,96,NA,6.3,43,4.5,4.5,0,4.5,14.5,4.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
61,-But the Flesh Is Weak,1932,77,NA,5.8,32,4.5,4.5,4.5,14.5,4.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
62,...4 ...3 ...2 ...1 ...morte,1967,95,NA,3.6,67,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
63,...All the Marbles,1981,113,NA,5.6,348,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,1,0,1,1,0,1,0
64,...Almost,1990,84,NA,5.3,38,0,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,1,0
65,...And Justice for All,1979,119,NA,7,2610,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
66,...And Millions Die!,1973,93,NA,4.4,23,14.5,0,4.5,34.5,24.5,14.5,0,0,0,14.5,,0,0,0,0,0,0,0
67,...Because She Disobeyed,1935,104,NA,6,11,0,0,0,0,14.5,14.5,0,4.5,34.5,14.5,,0,0,1,1,0,0,0
68,"...Belpaese, Il",1977,109,NA,5.2,11,4.5,0,0,0,34.5,34.5,4.5,4.5,0,0,,0,0,1,1,0,0,0
69,...Comme elle respire,1998,106,NA,6.1,103,4.5,4.5,0,4.5,14.5,14.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
70,...Is It the Design on the Wrapper?,1997,8,NA,2.6,14,24.5,0,0,0,4.5,4.5,24.5,4.5,0,24.5,,0,0,0,0,0,0,1
71,...Ja teeb trikke,1978,10,NA,7.9,7,0,0,0,0,0,0,14.5,24.5,24.5,24.5,,0,1,1,0,0,0,1
72,...Lost,2000,5,NA,6.2,13,4.5,0,0,4.5,24.5,34.5,24.5,4.5,0,0,,0,0,0,0,0,0,1
73,...Maybe This Time,1980,96,NA,5.7,8,0,0,0,0,24.5,34.5,24.5,14.5,0,0,,0,0,0,1,0,0,0
74,...Po prozvishchu 'Zver',1990,88,NA,4.7,11,4.5,0,4.5,4.5,4.5,14.5,14.5,0,4.5,14.5,,1,0,0,0,0,0,0
75,...Quando Troveja,1999,92,NA,4.6,25,4.5,0,4.5,14.5,24.5,14.5,24.5,14.5,4.5,0,,0,0,0,1,0,0,0
76,...To Skin a Cat,2004,22,NA,8.1,11,0,4.5,0,0,4.5,0,4.5,14.5,4.5,44.5,,0,0,1,0,0,0,1
77,...a tutte le auto della polizia,1975,90,NA,6.8,7,0,0,0,0,0,24.5,74.5,0,0,0,,0,0,0,0,0,0,0
78,...a zase ta Lucie!,1984,82,NA,5.8,19,4.5,0,14.5,0,24.5,24.5,14.5,4.5,14.5,4.5,,0,0,1,0,0,0,0
79,"...al fin, el mar",2005,95,NA,5,9,24.5,0,14.5,14.5,24.5,14.5,0,0,0,24.5,,0,0,0,1,0,1,0
80,...ani smrt nebere,1996,88,NA,3.6,5,44.5,24.5,0,0,0,24.5,0,24.5,0,0,,0,0,0,0,0,0,0
81,"...borgnes sont rois, Les",1974,15,NA,8.3,6,0,0,0,14.5,0,0,14.5,0,14.5,45.5,,0,0,0,0,0,0,1
82,"...dopo di che, uccide il maschio e lo divora",1971,96,NA,6.1,5,0,0,0,0,0,44.5,0,44.5,0,24.5,,0,0,0,1,0,0,0
83,...e per tetto un cielo di stelle,1968,100,NA,3.9,19,0,14.5,14.5,24.5,0,24.5,14.5,0,4.5,14.5,,0,0,0,0,0,0,0
84,...e tanta paura,1976,98,NA,5.8,20,0,0,14.5,14.5,4.5,14.5,24.5,14.5,0,24.5,,0,0,0,0,0,0,0
85,...som havets nakna vind,1968,105,NA,5.3,21,4.5,4.5,0,0,4.5,4.5,14.5,4.5,4.5,34.5,,0,0,0,1,0,1,0
86,...tick...tick...tick...,1970,100,NA,6,145,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,14.5,,1,0,0,1,0,0,0
87,...und abends in die Scala,1958,94,NA,5.7,5,0,0,24.5,0,0,0,64.5,24.5,0,0,,0,0,0,0,0,0,0
88,...und das ist erst der Anfang,2000,95,NA,5.9,50,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,1,0
89,...und die Liebe lacht dazu,1957,97,NA,6.8,5,0,0,0,24.5,0,0,44.5,44.5,0,0,,0,0,0,0,0,0,0
90,...ya no puede caminar.,2001,14,NA,7.1,35,4.5,0,4.5,4.5,14.5,14.5,4.5,14.5,4.5,34.5,,0,0,0,0,0,0,1
91,.com for Murder,2002,96,5000000,3.7,271,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
92,00 Schneider - Jagd auf Nihil Baxter,1994,90,NA,5.9,339,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,,0,0,1,0,0,0,0
93,002 agenti segretissimi,1964,83,NA,3.6,6,34.5,0,0,0,0,14.5,14.5,14.5,0,14.5,,1,0,1,0,0,0,0
94,002 operazione Luna,1965,90,NA,4.7,9,14.5,14.5,0,14.5,0,0,24.5,0,24.5,24.5,,0,0,1,0,0,0,0
95,6,1994,87,NA,6.4,238,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,1,0
96,06/05,2004,117,NA,6.3,165,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
97,07 con el 2 delante (Agente: Jaime Bonet),1966,101,NA,1.8,13,64.5,0,4.5,4.5,0,0,14.5,4.5,0,0,,0,0,1,0,0,0,0
98,08/15,1954,95,NA,4.6,65,14.5,0,0,4.5,14.5,4.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
99,08/15 - In der Heimat,1955,96,NA,4.2,48,14.5,4.5,0,4.5,14.5,24.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
100,08/15 - Zweiter Teil,1955,110,NA,3.7,47,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
101,1 Giant Leap,2002,155,NA,6.6,75,4.5,4.5,0,4.5,4.5,14.5,24.5,14.5,14.5,34.5,,0,0,0,0,1,0,0
102,1+1=3,1979,85,NA,7.5,5,0,0,0,0,0,0,44.5,44.5,0,24.5,,0,0,1,0,0,0,0
103,"1,000 Dollars a Minute",1935,70,NA,6.2,5,0,0,24.5,0,24.5,0,44.5,0,0,24.5,,0,0,1,0,0,0,0
104,"1,99 - Um Supermercado Que Vende Palavras",2003,72,NA,4.9,28,4.5,4.5,4.5,4.5,14.5,4.5,14.5,24.5,4.5,14.5,,0,0,1,0,1,0,0
105,1-2-3-4 ou Les Collants noirs,1960,125,NA,7.3,34,0,4.5,4.5,0,4.5,14.5,14.5,24.5,4.5,24.5,,0,0,0,1,0,0,0
106,1. April 2000,1952,105,NA,6.9,27,4.5,0,0,14.5,14.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
107,1/2 Mensch,1986,48,NA,8.1,29,4.5,0,0,0,4.5,0,0,4.5,24.5,64.5,,0,0,0,0,1,0,0
108,10,1979,122,NA,5.7,3170,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
109,10 Magnificent Killers,1977,84,NA,2.6,9,64.5,0,0,14.5,14.5,14.5,0,0,0,0,,1,0,0,1,0,0,0
110,10 Rillington Place,1971,111,NA,7.2,486,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
111,10 Seconds,1998,10,NA,7.3,21,0,0,0,4.5,4.5,14.5,24.5,34.5,4.5,4.5,,0,0,0,0,0,0,1
112,10 Things I Hate About You,1999,97,16000000,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,PG-13,0,0,1,0,0,1,0
113,10 Violent Women,1982,95,NA,3.8,31,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,0,4.5,,1,0,0,1,0,0,0
114,10 from Your Show of Shows,1973,92,NA,8.6,61,4.5,0,4.5,4.5,0,4.5,4.5,14.5,14.5,44.5,,0,0,1,0,0,0,0
115,10 jaar leuven kort,2004,240,NA,7.9,7,0,0,14.5,0,0,14.5,14.5,0,14.5,44.5,,0,0,0,1,0,0,1
116,10 on Ten,2004,88,NA,5.9,40,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
117,10 pesos,2003,6,NA,6.1,8,0,0,0,14.5,14.5,24.5,14.5,14.5,24.5,0,,0,0,0,0,0,0,1
118,10 to Midnight,1983,101,NA,5.4,530,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
119,10.000 dollari per un massacro,1967,100,NA,3.6,16,0,14.5,0,0,0,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
120,10.7,1997,28,NA,8.8,5,0,0,0,0,0,0,0,64.5,0,44.5,,0,0,0,0,0,0,1
121,100 Days,1991,161,NA,5.8,59,4.5,4.5,0,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,1,0
122,100 Days,2001,100,NA,6.2,14,0,14.5,0,0,4.5,0,24.5,24.5,4.5,24.5,,0,0,0,1,0,0,0
123,100 Girls,2000,90,NA,5.8,3349,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,1,0
124,100 Mile Rule,2002,98,1100000,5.6,181,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,R,0,0,1,0,0,0,0
125,100 Pro,2001,88,NA,5.5,94,4.5,14.5,14.5,4.5,4.5,4.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
126,100 Proof,1997,94,140000,3.3,19,14.5,14.5,4.5,14.5,14.5,14.5,14.5,0,0,24.5,,0,0,0,1,0,0,0
127,100 Rifles,1969,110,NA,5.6,267,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
128,100 Years at the Movies,1994,9,NA,9.2,91,0,4.5,0,4.5,4.5,4.5,4.5,4.5,14.5,64.5,,0,0,0,0,1,0,1
129,100 minuta slave,2004,100,NA,5.9,21,14.5,4.5,4.5,4.5,4.5,0,4.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
130,1000 Boomerangs,1995,101,NA,4.6,7,45.5,14.5,0,0,0,14.5,0,14.5,0,0,,0,0,0,1,0,0,0
131,1000 Convicts and a Woman,1971,92,NA,6.1,10,0,24.5,14.5,0,14.5,14.5,0,24.5,0,34.5,,0,0,0,1,0,0,0
132,1000 Rosen,1994,95,NA,5.1,17,14.5,4.5,0,0,0,4.5,14.5,34.5,4.5,14.5,,0,0,0,1,0,0,0
133,1000 Shapes of a Female,1963,79,NA,2.2,6,0,45.5,0,14.5,0,0,0,14.5,0,14.5,,0,0,1,0,0,0,0
134,"10000th Day, The",1997,18,NA,8,5,0,0,0,0,0,24.5,44.5,0,0,44.5,,0,0,0,0,0,0,1
135,1001 Arabian Nights,1959,75,NA,5.2,59,14.5,0,4.5,14.5,14.5,24.5,4.5,4.5,4.5,14.5,,0,1,0,0,0,0,0
136,1001 Erotic Nights 2,1986,79,NA,7.7,15,14.5,0,0,0,4.5,4.5,14.5,14.5,4.5,44.5,,0,0,0,0,0,0,0
137,1001 Nights,1998,23,NA,7.3,11,0,0,0,0,0,14.5,0,24.5,14.5,34.5,,0,0,0,0,0,0,1
138,"1001 nuits, Les",1990,98,NA,5.1,122,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
139,101,1989,117,200000,7.8,299,4.5,0,4.5,4.5,4.5,4.5,4.5,14.5,14.5,45.5,,0,0,0,0,1,0,0
140,101 Dalmatians,1996,103,NA,5.5,5028,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
141,101 Rent Boys,2000,78,NA,6.3,83,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
142,101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,100,NA,5.5,68,4.5,4.5,4.5,14.5,4.5,14.5,24.5,14.5,14.5,4.5,,0,0,1,0,0,0,0
143,101-vy kilometer,2001,103,200000,5.8,7,0,0,14.5,0,0,44.5,0,14.5,0,24.5,,0,0,0,1,0,0,0
144,101byeonjae propose,1993,112,NA,5.2,20,14.5,0,4.5,4.5,44.5,4.5,4.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
145,102 Dalmatians,2000,100,85000000,4.7,1987,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
146,10:10,2000,14,NA,6,6,0,0,0,14.5,14.5,34.5,14.5,14.5,0,0,,0,0,0,0,0,0,1
147,10:30 P.M. Summer,1966,85,NA,6.2,42,4.5,0,0,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
148,10e chambre - Instants d'audience,2004,105,NA,7.4,111,0,0,4.5,0,0,14.5,24.5,34.5,14.5,4.5,,0,0,0,0,1,0,0
149,11 Harrowhouse,1974,94,NA,6,177,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
150,11 Uhr 59,2000,11,NA,8.4,5,0,0,0,0,24.5,0,0,0,64.5,24.5,,0,0,0,0,0,0,1
151,"11 commandements, Les",2004,85,NA,4.7,199,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
152,11'09''01 - September 11,2002,134,NA,6.9,1264,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
153,11:11,2004,95,NA,4.3,222,14.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,R,0,0,0,0,0,0,0
154,11:14,2003,95,6000000,7.1,605,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,1,1,0,0,0
155,12 + 1,1969,94,NA,5.5,51,4.5,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
156,12 Angry Men,1957,96,340000,8.7,29278,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0,0,0,1,0,0,0
157,12 B,2001,150,NA,5.2,6,0,0,14.5,34.5,14.5,14.5,0,0,14.5,0,,0,0,0,1,0,0,0
158,12 Bucks,1998,86,NA,5.1,46,14.5,4.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
159,12 Hot Women,2003,4,NA,5.2,24,14.5,0,4.5,4.5,4.5,14.5,0,4.5,4.5,45.5,,0,0,1,0,0,0,1
160,12 Stops on the Road to Nowhere,1999,18,NA,7.2,24,14.5,0,0,0,0,4.5,14.5,14.5,14.5,44.5,,0,0,1,0,0,0,1
161,12 horas,2001,89,NA,6.2,39,24.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,,0,0,1,1,0,0,0
162,12 mesyatsev,1956,55,NA,8.5,14,0,0,0,0,0,0,4.5,4.5,24.5,64.5,,0,1,0,0,0,0,0
163,12 stulev,1971,161,NA,8.9,252,4.5,0,4.5,0,4.5,4.5,4.5,4.5,14.5,64.5,,0,0,1,0,0,0,0
164,12 to the Moon,1960,74,150000,2.8,89,34.5,24.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
165,"120 Tage von Bottrop, Die",1997,60,NA,2.4,52,34.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
166,125 rue Montmartre,1959,85,NA,5.2,22,0,0,14.5,14.5,4.5,24.5,4.5,24.5,4.5,0,,0,0,0,1,0,0,0
167,12:01 PM,1990,25,NA,7.4,183,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,0,0,0,0,0,0,1
168,12:35,2002,92,NA,8.2,5,24.5,0,0,0,0,0,0,0,0,84.5,,0,0,0,1,0,0,0
169,13 Dead Men,2003,85,NA,2.2,69,44.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0,14.5,R,1,0,0,0,0,0,0
170,13 Fighting Men,1960,69,NA,4.2,5,24.5,0,24.5,44.5,24.5,0,0,0,0,0,,0,0,0,0,0,0,0
171,13 Frightened Girls,1963,89,NA,5,34,4.5,4.5,4.5,4.5,4.5,24.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
172,13 Ghosts,1960,85,NA,5.6,578,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
173,13 Going On 30,2004,98,37000000,6.4,7859,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,1,0
174,13 Lakes,2004,135,NA,9,5,0,0,0,0,0,0,0,44.5,24.5,44.5,,0,0,0,0,1,0,0
175,13 Moons,2002,93,NA,5.6,196,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,R,0,0,1,0,0,0,0
176,13 Rue Madeleine,1947,95,NA,6.8,262,0,0,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
177,13 West Street,1962,80,NA,6.3,35,0,0,0,0,24.5,34.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
178,13 kaidan,2003,122,NA,7.2,23,0,0,4.5,4.5,0,14.5,14.5,34.5,24.5,4.5,,0,0,0,0,0,0,0
179,13. jul,1982,110,NA,6.4,11,0,0,4.5,4.5,24.5,0,14.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
180,13ta godenitsa na printsa,1987,89,NA,6.8,54,4.5,4.5,0,4.5,4.5,4.5,4.5,4.5,4.5,74.5,,0,0,0,0,0,0,0
